Date,Content,Comment
2019-09-24,https://boxd.it/OVukT,K
2019-09-26,,"3,1,2,4. Toy Story 4 is the bane of my existence"
2019-10-02,https://boxd.it/PjiwV,*dab*
2019-10-10,,I feel like this was written as revenge for Scorsese's view on the MCU
2019-10-11,,I'm very upset there was no mention of Will Arnett
2019-10-31,,ranekd
2019-10-31,,"Adam, not to alarm you, but I think you had an aneurysm creating this list"
2019-11-19,https://boxd.it/Se16D,"So what you're saying is


This movie blows"
2019-11-30,https://boxd.it/SQbp7,I was going to watch this movie but I was too busy saving my money for Shlempo Brand
2019-12-03,https://boxd.it/T7v5P,A <i>forced</i> attempt at reviving the saga👀👀
2019-12-03,https://boxd.it/T7pGP,I’d like this review but clearly this movie is too cool for me to comprehend
2019-12-03,https://boxd.it/T7v5P,Idiot
2019-12-11,https://boxd.it/TzE3J,The ending was predictable and not as thrilling as I wish it was
2019-12-12,https://boxd.it/TCyr7,And a quiet place
2019-12-20,https://boxd.it/UbEqz,Best Christmas movie no doubt
2019-12-23,https://boxd.it/UmuDF,Great Gerwig
2019-12-29,https://boxd.it/UVzVf,I don’t know why but the tags on this review crack me up
2020-01-01,https://boxd.it/VfdZJ,you are smelly for giving this 3 stars
2020-01-05,https://boxd.it/VJa3d,This is what you did instead of chatting wit da boys
2020-01-06,https://boxd.it/45rXG,why did you phrase the description of this list as if it were the intro to a crappy top 10 video on youtube
2020-01-07,https://boxd.it/VVGD7,"If you were harsh in this review I would’ve told you to be a little more gentle, man"
2020-01-08,https://boxd.it/VXVEN,I think you just liked hearing white people say the n word
2020-01-13,https://boxd.it/WnZmb,Legally Brunette
2020-01-13,,what an odd idea for a list
2020-01-16,https://boxd.it/WHwOF,p
2020-01-16,https://boxd.it/WJZfX,A Clockwork Wes
2020-01-18,https://boxd.it/WSbKJ,What? Ethan didn't give a movie 4 and 1/2 stars?
2020-01-20,https://boxd.it/X3CEb,"I bet you wish you could ""demolish"" this movie. ha Ha get it? Because its like the title? #joke"
2020-01-20,,Hi I'm Reed check out my account
2020-01-20,,You need to rearrange this list you've got lower ratings on top of higher ones
2020-01-20,https://boxd.it/2GWrM,Talk about a hot take
2020-01-22,https://boxd.it/XguPr,"I said it was awesome, not amazing. There's a difference"
2020-01-22,https://boxd.it/XkdRN,I disagree with that last one
2020-01-22,,an extensive list
2020-01-22,https://boxd.it/XjWFv,Well said
2020-01-27,https://boxd.it/XGgBH,My phone is now too broken to use at all so I won't be able to text until I get it fixed. Tell adam.
2020-01-27,https://boxd.it/XH8YP,So... very entertaining?
2020-01-27,https://boxd.it/XGmxL,My phone is broken and every time I ask my mom about going somewhere to get it fixed she gets mad because not everything is about me.
2020-01-27,https://boxd.it/XMrKx,Is that all you had to say
2020-01-28,https://boxd.it/XGmxL,"Its $120 to get it fixed, I get a new one tuesday after school"
2020-01-28,https://boxd.it/XMROv,Joe who
2020-02-05,,what
2020-02-05,,update this
2020-02-13,https://boxd.it/ZbIMf,well said
2020-02-17,https://boxd.it/ZBoJn,"I liked this review with me new macbook get on my level
"
2020-02-20,,I have apple tv
2020-02-20,https://boxd.it/ZTpTp,Idk why it won't let you log but I just checked and It'll let me log. It also says you've watched it under two accounts with the same name but when you click on either account its the same
2020-02-21,https://boxd.it/ZXClX,money pweeaaaasssseeee
2020-02-21,https://boxd.it/ZXTv1,"Hey speaking of clues, can we get a hit as to when Schlempo brand will be releasing its clothing?"
2020-02-24,https://boxd.it/109Y1z,"Did you watch this because J2G did😂😂
"
2020-02-24,https://boxd.it/109UXJ,Ya like jazz
2020-02-27,https://boxd.it/10q4mb,I was a little concerned that your twelve-year-old was swearing but then I saw your favorite movies list and it all kinda just came together
2020-03-13,https://boxd.it/11y2hX,pebis
2020-03-15,https://boxd.it/11LLXP,This is the best possible review you could leave for this short
2020-03-23,https://boxd.it/12B5cV,"Watch The House That Jack Built, its pretty whack and by the same director, I'm curious if you'll like it"
2020-03-24,https://boxd.it/12rBKl,That’s a fair statement
2020-04-07,https://boxd.it/14hnDN,"wait whats ur instgram
"
2020-04-10,https://boxd.it/14ImgH,This is what movies were meant to do
2020-04-11,https://boxd.it/11xZWt,Tf you on about did you forget about the amazing performance by Phonic Frog?
2020-04-12,https://boxd.it/14RV8V,"Im really confused so excuse me if this is odd, but do we know each other?"
2020-05-01,https://boxd.it/17h5fb,good review
2020-05-18,https://boxd.it/19p5SL,yes officer this review right here
2020-05-20,,This is a weird reason to watch futuristic movies but go for it I guess
2020-05-20,https://boxd.it/19CB8B,I made a music video about this https://www.youtube.com/watch?v=dJ2oX59ID4w
2020-05-20,,"Can confirm, he started snoring on a facetime call while we were watching the room"
2020-05-22,https://boxd.it/19Sz0d,"More like masterb-eight

Also great to see you on this app, review more often"
2020-05-30,https://boxd.it/1aGQJz,"Good Thomas, good."
2020-05-30,https://boxd.it/1aKMOD,two dollars
2020-06-02,https://boxd.it/1b2rFL,"This movie is the cinematic embodiment of literal gold, what are you on about with three stars?"
2020-06-02,https://boxd.it/1b2rFL,understandable
2020-06-06,https://boxd.it/109Y1z,That’s from 15 weeks ago Idek who I was talking ab
2020-06-18,https://boxd.it/1cKHEL,this is a good review
2020-06-27,https://boxd.it/1dBeeF,This show is so friggin good. I was invested as hell when it was coming out
2020-06-29,https://boxd.it/1dHLD1,This movie only gets better with each rewatch
2020-07-04,https://boxd.it/1eiko3,how dare you comment on my post but not like
2020-07-24,https://boxd.it/1grTaB,No I’m not 21
2020-08-04,https://boxd.it/1hBhlZ,From now on I wish to be referred to as “the Milliken”
2020-08-04,https://boxd.it/1hBef5,Ian you’re literally credited as the cinematographer who are you fooling
