Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-10-17,Boogie Nights,1997,https://boxd.it/Qfvjr,,,"w/ myself, @ school, sparrow",2019-10-16
2019-11-29,Jurassic Park,1993,https://boxd.it/SOuzh,4,,,2019-11-28
2019-12-08,A Christmas Love Story,2019,https://boxd.it/TqgUr,,,haven't seen,2019-12-07
2019-12-30,The Wandering Earth,2019,https://boxd.it/V4u3b,3,,,2019-12-29
2020-01-14,Mission: Impossible,1996,https://boxd.it/WzWCp,3.5,,,2020-01-13
2020-03-07,Saving Private Ryan,1998,https://boxd.it/119st1,,,haven't seen,2020-03-06
2020-07-05,Good Time,2017,https://boxd.it/1euq4x,3.5,,,2020-07-04
2020-09-28,Despicable Me 3,2017,https://boxd.it/1nl5gZ,3,,,2020-09-27
2021-02-03,Furious 7,2015,https://boxd.it/1DlODD,,Yes,"w/ myself, @ home, soap2day",2021-02-01
2021-03-12,2001: A Space Odyssey,1968,https://boxd.it/1Iwxah,,,"w/ myself, @ home, prime",2021-03-11
2022-01-15,Hotel Transylvania: Transformania,2022,https://boxd.it/2tMfIv,2,,"w/ myself, @ mu, prime",2022-01-14
2022-03-29,Kill Bill: Vol. 2,2004,https://boxd.it/2HTunn,,,"@ pitt, w/ will, w/ john, w/ jack n, w/ kelcey, w/ jamie, w/ bob, w/ ben, w/ shivani, w/ emily, w/ zayd, w/ partheev",2022-03-28
