
Date,Name,Tags,URL,Description
2021-02-04,2021 Golden Globe Noms Watchlist,,https://boxd.it/b51KE,"Once I have seen all of these, this will become a ranked list. 

The categories I hope to complete are

- Best Director: Motion Picture
- Best Motion Picture, Musical or Comedy
- Best Motion Picture, Drama
- Best Screenplay: Motion Picture

As well as a couple of other contenders from other categories that I just happened to have seen. Basically just all the ones I care about."

Position,Name,Year,URL,Description
1,Nomadland,2020,https://boxd.it/lnRy,
2,The Trial of the Chicago 7,2020,https://boxd.it/kn3w,
3,Onward,2020,https://boxd.it/io92,
4,Soul,2020,https://boxd.it/ioLA,
5,Borat Subsequent Moviefilm,2020,https://boxd.it/rNS0,
6,Promising Young Woman,2020,https://boxd.it/loRE,
7,Palm Springs,2020,https://boxd.it/lCXQ,
8,One Night in Miami...,2020,https://boxd.it/oCUo,
9,The Croods: A New Age,2020,https://boxd.it/jeHK,
10,The Prom,2020,https://boxd.it/mAyG,
11,Mank,2020,https://boxd.it/mIuC,
12,Hamilton,2020,https://boxd.it/kmvE,
13,Music,2021,https://boxd.it/lyEK,
14,The Father,2020,https://boxd.it/m8Ie,
15,Wolfwalkers,2020,https://boxd.it/fGrC,
16,Another Round,2020,https://boxd.it/lkba,
17,Minari,2020,https://boxd.it/mL9M,
18,Tenet,2020,https://boxd.it/leq4,
