
Date,Name,Tags,URL,Description
2020-01-08,A Movie a Day for a Year 2020,,https://boxd.it/4xXUq,"A log of my attempt to watch a feature-length movie every day for a year. Movies are ranked in the order I watched them, January 1st at the top and as far as I get at the bottom. This isn't every movie that I've watched in 2020, just the first viewed of each day. The following are some collected stats so far.

Best: Nightcrawler

Worst: Accidental Love

Earliest I've finished a film: 10:56 AM

Latest I've finished a film: 11:53 PM

Goal: 366 days

Achieved: 48 days

LIST ENDED, CHALLENGE FAILED. FINALS HURT LIKE A MOFO."

Position,Name,Year,URL,Description
1,Spy Kids,2001,https://boxd.it/1Xcw,
2,Ex Machina,2015,https://boxd.it/7T2k,
3,Limitless,2011,https://boxd.it/Aly,
4,Stronger,2017,https://boxd.it/dRqQ,
5,Accidental Love,2015,https://boxd.it/acfG,
6,The Report,2019,https://boxd.it/j2X2,
7,Nightcrawler,2014,https://boxd.it/780m,
8,Transformers: Dark of the Moon,2011,https://boxd.it/16aC,
9,Captain America: The First Avenger,2011,https://boxd.it/28b0,
10,The Grinch,2018,https://boxd.it/chpK,
11,Sherlock Holmes,2009,https://boxd.it/1W2A,
12,Okja,2017,https://boxd.it/dvXe,
13,Mission: Impossible,1996,https://boxd.it/29d2,
14,Captain Marvel,2019,https://boxd.it/9vSA,
15,A Bug's Life,1998,https://boxd.it/1Yyy,
16,A Quiet Place,2018,https://boxd.it/fVJQ,
17,Inside Out,2015,https://boxd.it/4KHC,
18,Midsommar,2019,https://boxd.it/jhxe,
19,1917,2019,https://boxd.it/jj4y,
20,Don't Talk to Irene,2017,https://boxd.it/gTSe,
21,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy,
22,Wild Card,2015,https://boxd.it/7Upk,
23,Tomorrowland,2015,https://boxd.it/4YaC,
24,Jumanji: The Next Level,2019,https://boxd.it/ixu4,
25,Indiana Jones and the Kingdom of the Crystal Skull,2008,https://boxd.it/2aR8,
26,Mine,2016,https://boxd.it/bywc,
27,Annihilation,2018,https://boxd.it/9yzm,
28,Overlord,2018,https://boxd.it/fAwm,
29,Between Two Ferns: The Movie,2019,https://boxd.it/lw9g,
30,The Lion King,2019,https://boxd.it/eSjI,
31,The Invention of Lying,2009,https://boxd.it/1zGs,
32,Up in the Air,2009,https://boxd.it/1zPY,
33,Moon,2009,https://boxd.it/1IGQ,
34,Mission: Impossible - Fallout,2018,https://boxd.it/bSVc,
35,Zombieland: Double Tap,2019,https://boxd.it/bgb6,
36,Spider-Man: Far From Home,2019,https://boxd.it/fegG,
37,Aquaman,2018,https://boxd.it/9ru0,
38,Dora and the Lost City of Gold,2019,https://boxd.it/i1VW,
39,Ghostbusters,2016,https://boxd.it/Vm8,
40,Now You See Me,2013,https://boxd.it/2Bsu,
41,Honey Boy,2019,https://boxd.it/ixvm,
42,Yes Man,2008,https://boxd.it/1WPW,
43,Sicario,2015,https://boxd.it/8i7u,
44,Sonic the Hedgehog,2020,https://boxd.it/gdK8,
45,Parasite,2019,https://boxd.it/hTha,
46,The Naked Gun: From the Files of Police Squad!,1988,https://boxd.it/18YE,
47,Timmy Failure: Mistakes Were Made,2020,https://boxd.it/k6Ck,
48,Toy Story 4,2019,https://boxd.it/9ALu,
