
Date,Name,Tags,URL,Description
2019-12-09,Best of the Decade 2010-2019,,https://boxd.it/4km84,"The best movie from every year between 2010 and 2019. I'd have to agree with my friend Ethan Lassater with this one, 2014 and 2017 are the best years for movies this decade."

Position,Name,Year,URL,Description
1,Inception,2010,https://boxd.it/1skk,
2,Mission: Impossible - Ghost Protocol,2011,https://boxd.it/psI,
3,Looper,2012,https://boxd.it/ham,
4,Snowpiercer,2013,https://boxd.it/3Icg,
5,Whiplash,2014,https://boxd.it/7bQA,
6,The Martian,2015,https://boxd.it/8SeG,
7,La La Land,2016,https://boxd.it/a5fa,
8,Baby Driver,2017,https://boxd.it/bhF2,
9,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
10,Parasite,2019,https://boxd.it/hTha,
