
Date,Name,Tags,URL,Description
2020-01-14,Forky Ranked,,https://boxd.it/4AGcs,"Today Forky asks whether it's worth making these stupid shorts. The answer is no.

Show Average: 2.5 Stars"

Position,Name,Year,URL,Description
1,Forky Asks a Question: What Is Reading?,2020,https://boxd.it/oF8i,
2,Forky Asks a Question: What Is a Friend?,2019,https://boxd.it/oAMi,
3,Forky Asks a Question: What Is Cheese?,2020,https://boxd.it/oACs,
4,Forky Asks a Question: What Is Love?,2019,https://boxd.it/oABa,
5,Forky Asks a Question: What Is Time?,2019,https://boxd.it/oAB0,
6,Forky Asks a Question: What Is a Pet?,2019,https://boxd.it/oAOS,
7,Forky Asks a Question: What Is Art?,2019,https://boxd.it/oABk,
8,Forky Asks a Question: What Is Money?,2019,https://boxd.it/oAC8,
9,Forky Asks a Question: What Is a Computer?,2019,https://boxd.it/oAS6,
10,Forky Asks a Question: What Is a Leader?,2019,https://boxd.it/oABE,
