
Date,Name,Tags,URL,Description
2021-02-10,HEIST MOVIES!!!!,,https://boxd.it/b90iC,"A ranked list of my absolute favorite genre of film, heist movies. "

Position,Name,Year,URL,Description
1,Catch Me If You Can,2002,https://boxd.it/29VS,
2,Ocean's Eleven,2001,https://boxd.it/2aZm,
3,Ocean's Thirteen,2007,https://boxd.it/2aEy,
4,American Animals,2018,https://boxd.it/hE4K,
5,Hell or High Water,2016,https://boxd.it/bfGM,
6,Good Time,2017,https://boxd.it/fcFu,
7,Ocean's Twelve,2004,https://boxd.it/2aZ2,
8,Ocean's Eight,2018,https://boxd.it/eaai,
9,Inside Man,2006,https://boxd.it/2auS,
10,Now You See Me 2,2016,https://boxd.it/99fw,
11,Now You See Me,2013,https://boxd.it/2Bsu,
12,Going in Style,2017,https://boxd.it/bSKS,
