
Date,Name,Tags,URL,Description
2020-06-02,Horror Movies Ranked,,https://boxd.it/5FfYS,"A ranked list of all the horror movies I've seen, as classified by Letterboxd. This is not a ranking of how scary a particular movie is, but by the movie as a whole.

Genre Average: 3.1"

Position,Name,Year,URL,Description
1,Train to Busan,2016,https://boxd.it/dSQU,
2,American Psycho,2000,https://boxd.it/28Vs,
3,Hereditary,2018,https://boxd.it/hNVe,
4,What We Do in the Shadows,2014,https://boxd.it/7eQy,
5,The Cabin in the Woods,2011,https://boxd.it/1zOc,
6,A Quiet Place,2018,https://boxd.it/fVJQ,
7,Creep,2014,https://boxd.it/7l4c,
8,Jaws,1975,https://boxd.it/2a5e,
9,Paranormal Activity,2007,https://boxd.it/1yIM,
10,Us,2019,https://boxd.it/gnV6,
11,10 Cloverfield Lane,2016,https://boxd.it/aZiu,
12,Upgrade,2018,https://boxd.it/i4gW,
13,Shaun of the Dead,2004,https://boxd.it/29J8,
14,The Invisible Man,2020,https://boxd.it/kWlA,
15,The Shining,1980,https://boxd.it/29Nu,
16,Annihilation,2018,https://boxd.it/9yzm,
17,Life,2017,https://boxd.it/dRqG,
18,Midsommar,2019,https://boxd.it/jhxe,
19,Split,2016,https://boxd.it/dgSy,
20,Zombieland,2009,https://boxd.it/1En6,
21,The Meg,2018,https://boxd.it/bAL4,
22,Hush,2016,https://boxd.it/d5ys,
23,Don't Breathe,2016,https://boxd.it/9yzw,
24,Lights Out,2016,https://boxd.it/bAHc,
25,It,2017,https://boxd.it/bC8e,
26,Happy Death Day,2017,https://boxd.it/fDz4,
27,It Chapter Two,2019,https://boxd.it/h10u,
28,The Babysitter,2017,https://boxd.it/eP1w,
29,Zombieland: Double Tap,2019,https://boxd.it/bgb6,
30,The Autopsy of Jane Doe,2016,https://boxd.it/dUu2,
31,The Mummy,2017,https://boxd.it/8HnW,
32,The House That Jack Built,2018,https://boxd.it/dWO4,
33,"As Above, So Below",2014,https://boxd.it/7yui,
34,Velvet Buzzsaw,2019,https://boxd.it/gAy0,
35,Scary Stories to Tell in the Dark,2019,https://boxd.it/eJTW,
36,The Cloverfield Paradox,2018,https://boxd.it/doVA,
37,Happy Death Day 2U,2019,https://boxd.it/ixt6,
38,Truth or Dare,2018,https://boxd.it/grIA,
39,Brightburn,2019,https://boxd.it/jk58,
40,Goosebumps,2015,https://boxd.it/7Bp6,
41,Tremors,1990,https://boxd.it/1YSe,
42,Rings,2017,https://boxd.it/1NQ2,
43,Death Note,2017,https://boxd.it/bOS4,
