
Date,Name,Tags,URL,Description
2020-01-29,movies where i have no idea what the hell is going on,,https://boxd.it/4Hf5y,what the hell is going on

Position,Name,Year,URL,Description
1,"As Above, So Below",2014,https://boxd.it/7yui,
2,Midsommar,2019,https://boxd.it/jhxe,
3,The Lighthouse,2019,https://boxd.it/icFU,
4,The Lobster,2015,https://boxd.it/7tnw,
5,The House That Jack Built,2018,https://boxd.it/dWO4,
6,Enemy,2013,https://boxd.it/5xtO,
7,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,
8,The Double,2013,https://boxd.it/4DLW,
