
Date,Name,Tags,URL,Description
2020-02-19,My Favorite Reviews,,https://boxd.it/4QfFY,A compilation of all my funniest reviews.

Position,Name,Year,URL,Description
1,Superbad,2007,https://boxd.it/20hO,
2,"Love, Simon",2018,https://boxd.it/g02s,
3,Garfield,2004,https://boxd.it/1ZAA,
4,Pixels,2015,https://boxd.it/7BaA,
5,Black Mirror: Striking Vipers,2019,https://boxd.it/mlse,
6,Norm of the North,2016,https://boxd.it/8qZE,
7,Sonic the Hedgehog,2020,https://boxd.it/gdK8,
8,Hancock,2008,https://boxd.it/1Zv6,
9,The Christmas Light,1995,https://boxd.it/hQcG,
10,2012,2009,https://boxd.it/1OE2,
11,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy,
12,What's Eating Gilbert Grape,1993,https://boxd.it/28xg,
13,The Sixth Sense,1999,https://boxd.it/29Js,
14,The Lonely Island Presents: The Unauthorized Bash Brothers Experience,2019,https://boxd.it/mihs,
15,Okja,2017,https://boxd.it/dvXe,
16,The Grinch,2018,https://boxd.it/chpK,
17,Joel Mchale: Live from Pyongyang,2019,https://boxd.it/njz0,
18,Ex Machina,2015,https://boxd.it/7T2k,
19,How the Grinch Stole Christmas,2000,https://boxd.it/1ZHQ,
20,Paul Blart: Mall Cop,2009,https://boxd.it/1NQw,
21,Life,2017,https://boxd.it/dRqG,
22,The Matrix,1999,https://boxd.it/2a1m,
23,The Three Stooges,2012,https://boxd.it/2DFA,
24,A Christmas Love Story,2019,https://boxd.it/nbO2,
25,Finding Dory,2016,https://boxd.it/4aAA,
26,The Intern,2015,https://boxd.it/7AOE,
27,"Monsters, Inc.",2001,https://boxd.it/2a46,
28,Up,2009,https://boxd.it/1OEc,
29,Get Squirrely,2015,https://boxd.it/dxao,
30,Downsizing,2017,https://boxd.it/9Ajq,
31,Beauty and the Beast,2017,https://boxd.it/ar0c,
32,WALL·E,2008,https://boxd.it/1VEo,
33,Men in Black II,2002,https://boxd.it/2a0y,
34,Boogie Nights,1997,https://boxd.it/23um,
35,Saving Private Ryan,1998,https://boxd.it/29ro,
36,To Kill a Mockingbird,1962,https://boxd.it/2a2E,
37,Artemis Fowl,2020,https://boxd.it/h3Vs,
