
Date,Name,Tags,URL,Description
2019-10-08,Spider-man Movies Ranked,,https://boxd.it/42JqO,Every theatrically released movie with spider-man as the main character. (does not include MCU movies who feature spider-man) Any unrated movie means that I have not seen it yet.

Position,Name,Year,URL,Description
1,Spider-Man: Homecoming,2017,https://boxd.it/aboM,
2,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
3,Spider-Man 2,2004,https://boxd.it/2a88,
4,Spider-Man: Far From Home,2019,https://boxd.it/fegG,
5,The Amazing Spider-Man 2,2014,https://boxd.it/3utM,
6,Spider-Man,2002,https://boxd.it/2a8i,
7,The Amazing Spider-Man,2012,https://boxd.it/27PI,
8,Spider-Man 3,2007,https://boxd.it/2a7Y,
9,Spider-Man,1978,https://boxd.it/fA3u,
