
Date,Name,Tags,URL,Description
2019-11-18,Spielberg Ranked,,https://boxd.it/4e8py,"Every movie I've seen directed by Stephen Spielberg, Ranked

Directoral Average: 3.6 Stars"

Position,Name,Year,URL,Description
1,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO,
2,Jurassic Park,1993,https://boxd.it/2aA2,
3,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,
4,Jaws,1975,https://boxd.it/2a5e,
5,Ready Player One,2018,https://boxd.it/aZes,
6,The Adventures of Tintin,2011,https://boxd.it/1Irc,
7,Indiana Jones and the Temple of Doom,1984,https://boxd.it/2bb8,
8,Indiana Jones and the Kingdom of the Crystal Skull,2008,https://boxd.it/2aR8,
9,The Lost World: Jurassic Park,1997,https://boxd.it/2azS,
