
Date,Name,Tags,URL,Description
2020-10-05,Spooktober 2020,,https://boxd.it/8TXEW,Watching 31 Halloween/horror movies in October to celebrate a great genre and an even better holiday. Listed in watch order.

Position,Name,Year,URL,Description
1,Saw,2004,https://boxd.it/2aWW,
2,Scream,1996,https://boxd.it/24EC,
3,The Thing,1982,https://boxd.it/294O,
4,Shaun of the Dead,2004,https://boxd.it/29J8,
5,Final Destination,2000,https://boxd.it/1YrC,
6,The Lighthouse,2019,https://boxd.it/icFU,
7,Hubie Halloween,2020,https://boxd.it/mQwm,
8,American Psycho,2000,https://boxd.it/28Vs,
9,The Purge,2013,https://boxd.it/4Xg0,
10,Close Encounters of the Third Kind,1977,https://boxd.it/29u8,
11,Friday the 13th,1980,https://boxd.it/24fs,
12,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,
13,Hereditary,2018,https://boxd.it/hNVe,
