
Date,Name,Tags,URL,Description
2019-12-12,The Terrible Ten,,https://boxd.it/4ljDU,"The ten worst movies I've ever seen ranked worst at #1 and best (relatively speaking) at #10.

List Average: 1 Star"

Position,Name,Year,URL,Description
1,Get Squirrely,2015,https://boxd.it/dxao,
2,Cats,2019,https://boxd.it/jydK,
3,Bloodshot,2020,https://boxd.it/bfG8,
4,Downsizing,2017,https://boxd.it/9Ajq,
5,Accidental Love,2015,https://boxd.it/acfG,
6,The Late Bloomer,2016,https://boxd.it/eA7k,
7,Tall Girl,2019,https://boxd.it/n9yG,
8,The Adventures of Sharkboy and Lavagirl,2005,https://boxd.it/1Ozm,
9,Mine,2016,https://boxd.it/bywc,
10,Kick-Ass 2,2013,https://boxd.it/hqu,
