
Date,Name,Tags,URL,Description
2020-01-17,The Terrific 25,,https://boxd.it/4CgrA,A completely original idea!

Position,Name,Year,URL,Description
1,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,
2,Whiplash,2014,https://boxd.it/7bQA,
3,The Incredibles,2004,https://boxd.it/1XLm,
4,Nightcrawler,2014,https://boxd.it/780m,
5,Baby Driver,2017,https://boxd.it/bhF2,
6,Inception,2010,https://boxd.it/1skk,
7,Parasite,2019,https://boxd.it/hTha,
8,Marriage Story,2019,https://boxd.it/hJAw,
9,Joker,2019,https://boxd.it/h4cS,
10,Avengers: Endgame,2019,https://boxd.it/9vE4,
11,Mission: Impossible - Fallout,2018,https://boxd.it/bSVc,
12,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
13,Ratatouille,2007,https://boxd.it/27ww,
14,Spider-Man: Homecoming,2017,https://boxd.it/aboM,
15,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO,
16,The Lego Movie,2014,https://boxd.it/4pDO,
17,Guardians of the Galaxy,2014,https://boxd.it/3VH2,
18,Zodiac,2007,https://boxd.it/27MO,
19,Prisoners,2013,https://boxd.it/4E5i,
20,Instant Family,2018,https://boxd.it/hHpQ,
21,Knives Out,2019,https://boxd.it/jWEA,
22,Jurassic Park,1993,https://boxd.it/2aA2,
23,American Psycho,2000,https://boxd.it/28Vs,
24,Kingsman: The Secret Service,2014,https://boxd.it/6dxe,
25,Home Alone,1990,https://boxd.it/29Fg,
