
Date,Name,Tags,URL,Description
2019-12-14,Top 10 Animated Movies,,https://boxd.it/4lRmS,

Position,Name,Year,URL,Description
1,The Incredibles,2004,https://boxd.it/1XLm,
2,Ratatouille,2007,https://boxd.it/27ww,
3,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
4,The Lego Movie,2014,https://boxd.it/4pDO,
5,WALL·E,2008,https://boxd.it/1VEo,
6,Toy Story 3,2010,https://boxd.it/1WRe,
7,"Monsters, Inc.",2001,https://boxd.it/2a46,
8,The Lego Batman Movie,2017,https://boxd.it/azp0,
9,The Adventures of Tintin,2011,https://boxd.it/1Irc,
10,Despicable Me,2010,https://boxd.it/1DD8,
