
Date,Name,Tags,URL,Description
2019-12-17,Top 10 Horror Movies,,https://boxd.it/4mGke,"The top 10 horror movies (as categorized by letterboxd) I've seen, ranked"

Position,Name,Year,URL,Description
1,American Psycho,2000,https://boxd.it/28Vs,
2,Hereditary,2018,https://boxd.it/hNVe,
3,Us,2019,https://boxd.it/gnV6,
4,What We Do in the Shadows,2014,https://boxd.it/7eQy,
5,Shaun of the Dead,2004,https://boxd.it/29J8,
6,10 Cloverfield Lane,2016,https://boxd.it/aZiu,
7,A Quiet Place,2018,https://boxd.it/fVJQ,
8,The Shining,1980,https://boxd.it/29Nu,
9,Split,2016,https://boxd.it/dgSy,
10,Hush,2016,https://boxd.it/d5ys,
