
Date,Name,Tags,URL,Description
2019-09-25,Top 10 Superhero Movies,,https://boxd.it/3Zz14,

Position,Name,Year,URL,Description
1,The Incredibles,2004,https://boxd.it/1XLm,
2,Avengers: Endgame,2019,https://boxd.it/9vE4,
3,Spider-Man: Homecoming,2017,https://boxd.it/aboM,
4,Avengers: Infinity War,2018,https://boxd.it/9vEe,
5,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
6,Guardians of the Galaxy,2014,https://boxd.it/3VH2,
7,The Dark Knight,2008,https://boxd.it/2b0k,
8,Doctor Strange,2016,https://boxd.it/8MH8,
9,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,
10,Spider-Man 2,2004,https://boxd.it/2a88,
