Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2019-10-17,Boogie Nights,1997,https://boxd.it/Qfvjr,,,"Couldn’t decide on one review so here are a few:


Pornhub: The Movie

Porn, but the plot is actually good, and the acting’s about the same

Porn, but the man’s dick is always slightly out of frame

Somehow the second movie I've seen this year that makes a joke about how big Mark Wahlberg’s dick is

Now I know why Mark Wahlberg decided to create his restaurant around meat

John C. Reilly plays a porn star with my same name and I couldn’t be happier","w/ myself, @ school, sparrow",2019-10-16
2019-11-08,Old,2021,https://boxd.it/RzpoJ,,,Killer title,,
2019-11-13,Fantastic Four,2015,https://boxd.it/RRLIH,1,,So this is what Andrew Neiman did after leaving Shaffer,,
2019-11-14,Coco,2017,https://boxd.it/RW6gn,3,,"This movie is much like my 3rd-period English class, boring.",,
2019-11-17,The Intern,2015,https://boxd.it/S7A0L,,,"Considering the fact that Robert De Niro's character was so attracted to Anne, I suppose you could say she Hathaway with men.",haven't seen,
2019-11-29,Jurassic Park,1993,https://boxd.it/SOuzh,4,,"87/100

What’s not to love about Jurassic Park? I’m not a huge fan of dinosaurs, but I am a fan of huge dinosaurs. This movie does and will always hold a special place in my heart. Not only was seeing this movie in theaters my parents first date, but is also one of the first memories of absolutely loving a movie. This was my absolute favorite for probably a good 5 years, and has good reason being so. The special effects, the action and the score are all big factors in making this such an iconic flick.",,2019-11-28
2019-12-08,A Christmas Love Story,2019,https://boxd.it/TqgUr,,,"I take pride in the fact that I had never seen a Hallmark movie before tonight. This was a streak I had full intentions of keeping until I died. However, tonight my Mother played a card from so far out of left field I hadn’t thought I had to be cautious of it. Tonight my Mother used a coupon from my ten-year-old sister’s Mother’s Day gift that required we have a family movie night. Unfortunately, we watched a Hallmark movie. This movie made my Mother cry, which was something I thought only I had the power to do. For solely that reason, this movie has earned 2.5 stars. I don’t like this movie. Please don’t watch it.",haven't seen,2019-12-07
2019-12-09,Monster Trucks,2016,https://boxd.it/TtC4D,2,,"42/100

Boring and Bland. It's that simple.","w/ myself, @ school, prime",
2019-12-16,Star Wars,1977,https://boxd.it/TU9Zf,4,,"85/100

There are a few things I could nitpick about Star Wars but why would I? This movie is the definition of classic and never disappoints. I've got to give credit to George Lucas for creating such an iconic movie that still holds up 40 years later in pretty much every aspect.","w/ myself, @ home, disney+",
2019-12-19,Vacation,2015,https://boxd.it/U6Hpz,,,I was gonna watch this with my dad but they swore right as my mom came downstairs to see what we were watching and made us turn it off.,haven't seen,
2019-12-30,The Wandering Earth,2019,https://boxd.it/V4u3b,3,,"50/100

This movie goes to show that a high production value/badass cgi shots can’t save a movie’s reputation from poor writing and acting.",,2019-12-29
2020-01-03,Camp Unplug,2016,,3,,"70/100

This is honestly trash but here's an extra star because Drew Gooden is in it",,
2020-01-11,Ferris Bueller's Day Off,1986,https://boxd.it/WcUIp,4,,"87/100

Man I love the 80s",,
2020-01-14,Mission: Impossible,1996,https://boxd.it/WzWCp,3.5,,"78/100

Still holds up. As you may have noticed I've given up on writing good reviews.",,2020-01-13
2020-02-01,Partysaurus Rex,2012,https://boxd.it/YaMYt,2.5,,"57/100

Stupid, but fun.",,
2020-02-01,Small Fry,2011,https://boxd.it/YaObX,3,,"63/100

The round table of abandoned toys is hilarious, the rest is mediocre.",,
2020-02-03,Fries! The Movie,2021,https://boxd.it/YoToZ,,,What the hell is this,,
2020-02-19,The Banker,2020,https://boxd.it/ZPwyb,,,"Why has no one seen this yet its Samuel L Jackson and Anthony Mackie on Apple TV+, white people should be all over this.",haven't seen,
2020-03-04,Christmas Mail,2010,https://boxd.it/10X28x,,,I love Drew Gooden so much,,
2020-03-07,Saving Private Ryan,1998,https://boxd.it/119st1,,,Shaving Ryan’s Privates,haven't seen,2020-03-06
2020-04-22,Annie,2014,https://boxd.it/16eTQr,2.5,,"52/100

Extra half star for Bobby Cannavoli and Rose Byrne",,
2020-06-06,Middleditch & Schwartz,2020,https://boxd.it/1bt527,4,,"87/100

This is a work of art. Watch it if you haven't already.",,
2020-06-30,My Spy,2020,https://boxd.it/1e17kD,2.5,,"59/100

At surface level, My Spy is a funny, entertaining, and well-acted movie. However, as soon as you start to think about the details and what's exactly going on, it crumbles apart faster than a Nature's Valley granola bar. What My Spy really is, is a pervert-y awkward comedy that has far too many potholes and seems to appeal to a very niche audience. Thankfully, the majority of those problems disappear after the first act, and while more problems (this time more focused on plot) arise, the movie as a whole levels out and ends up being not too shabby. Points are given to the surprisingly great performances by Chloe Colemen and Dave Bautista, the Iron Man 2/Mission Impossible/Shrek/Indiana Jones references, and the few jokes that admittedly did make me laugh.",,
2020-07-05,Good Time,2017,https://boxd.it/1euq4x,3.5,,"77/100

With as much as I’ve heard about him, I was surprised to realize I hadn’t seen anything with Robert Pattinson in it before, and I must say he’s quite the delight. This was the second movie I’ve seen by the Safdie Bros and I’m beginning to really like their style of unique lighting as well as the way they work the camera with super up close shots and smooth pans. Overall a quality flick.",,2020-07-04
2020-09-13,50/50,2011,https://boxd.it/1lQizp,4,,"86/100

Funny, touching, and very well done. 50/50 perfectly satisfied my craving for a wholesome Saturday night movie.",,
2020-09-28,Despicable Me 3,2017,https://boxd.it/1nl5gZ,3,,"To the handsome little cheese boy, I’m so sorry nice guys have to finish last",,2020-09-27
2020-11-11,Geostorm,2017,https://boxd.it/1saMcp,,,This might be one of the most unmemorable movies I've ever seen. My dad and I watched this sometime last year and I could not tell you a single thing about it.,"w/dad, @ home",
