
Date,Name,Tags,URL,Description
2022-02-26,Batman Ranked,,https://boxd.it/fzujS,"Every theatrically released Batman movie ranked.

Franchise average: 3.1 Stars"

Position,Name,Year,URL,Description
1,The Batman,2022,https://boxd.it/eDGs,
2,The Dark Knight,2008,https://boxd.it/2b0k,
3,The Lego Batman Movie,2017,https://boxd.it/azp0,
4,The Dark Knight Rises,2012,https://boxd.it/H3m,
5,Batman Begins,2005,https://boxd.it/2aIg,
6,Batman,1966,https://boxd.it/26uO,
7,Batman,1989,https://boxd.it/2aIU,
8,Batman Returns,1992,https://boxd.it/2awa,
9,Batman v Superman: Dawn of Justice,2016,https://boxd.it/6fBW,
10,Batman: Mask of the Phantasm,1993,https://boxd.it/1N6S,
11,Batman Forever,1995,https://boxd.it/2ara,
12,Batman & Robin,1997,https://boxd.it/2ar0,
