
Date,Name,Tags,URL,Description
2019-11-20,Comedy Specials Ranked,,https://boxd.it/4eJSC,"Every stand-up special I've seen ranked.

Genre Average: 3.3 Stars"

Position,Name,Year,URL,Description
1,Bo Burnham: Inside,2021,https://boxd.it/v2uy,
2,Middleditch & Schwartz,2020,https://boxd.it/pV28,
3,Michael Jr: Laughing On Purpose,2013,https://boxd.it/briM,
4,John Mulaney: The Comeback Kid,2015,https://boxd.it/cK4w,
5,Bo Burnham: Make Happy,2016,https://boxd.it/e436,
6,John Mulaney: New in Town,2012,https://boxd.it/359M,
7,Seth Meyers: Lobby Baby,2019,https://boxd.it/nPXI,
8,The Earliest Show,2016,https://boxd.it/tGJO,
9,Bo Burnham: What.,2013,https://boxd.it/7au4,
10,Pete Davidson: Alive from New York,2020,https://boxd.it/p6ti,
11,John Mulaney: Kid Gorgeous at Radio City,2018,https://boxd.it/iTts,
12,Jim Gaffigan: Quality Time,2019,https://boxd.it/mXXu,
13,Jim Gaffigan: Comedy Monster,2021,https://boxd.it/y5mI,
14,Louis C.K. 2017,2017,https://boxd.it/g10W,
15,Joel Mchale: Live from Pyongyang,2019,https://boxd.it/njz0,
