
Date,Name,Tags,URL,Description
2019-09-25,DCEU Movies Ranked,,https://boxd.it/3Zz3Y,"Every DCEU movie ranked.

Franchise Average: 2.6 Stars "

Position,Name,Year,URL,Description
1,Shazam!,2019,https://boxd.it/8WBu,
2,Man of Steel,2013,https://boxd.it/FRk,
3,The Suicide Squad,2021,https://boxd.it/fw6O,
4,Aquaman,2018,https://boxd.it/9ru0,
5,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/hSyO,
6,Zack Snyder's Justice League,2021,https://boxd.it/tLOk,
7,Batman v Superman: Dawn of Justice,2016,https://boxd.it/6fBW,
8,Wonder Woman 1984,2020,https://boxd.it/gBtA,
9,Wonder Woman,2017,https://boxd.it/9roG,
10,Justice League,2017,https://boxd.it/4w68,
11,Suicide Squad,2016,https://boxd.it/9row,
