
Date,Name,Tags,URL,Description
2020-04-10,Infinite Rewatches,topstats,https://boxd.it/5dgNA,"Movies I could watch on repeat with no complaints. Listed in no particular order. Basically my “favorites” list. 

List Average: 4.4"

Position,Name,Year,URL,Description
1,Zodiac,2007,https://boxd.it/27MO,
2,Baby Driver,2017,https://boxd.it/bhF2,
3,Prisoners,2013,https://boxd.it/4E5i,
4,Whiplash,2014,https://boxd.it/7bQA,
5,Election,1999,https://boxd.it/1YEc,
6,The Incredibles,2004,https://boxd.it/1XLm,
7,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
8,The Lego Movie,2014,https://boxd.it/4pDO,
9,Parasite,2019,https://boxd.it/hTha,
10,American Psycho,2000,https://boxd.it/28Vs,
11,The Batman,2022,https://boxd.it/eDGs,
12,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,
13,Mission: Impossible - Fallout,2018,https://boxd.it/bSVc,
14,Snowpiercer,2013,https://boxd.it/3Icg,
15,Iron Man,2008,https://boxd.it/28dA,
16,The Truman Show,1998,https://boxd.it/18U8,
17,Searching,2018,https://boxd.it/hDPg,
18,Avengers: Endgame,2019,https://boxd.it/9vE4,
19,Burn After Reading,2008,https://boxd.it/23BW,
20,Catch Me If You Can,2002,https://boxd.it/29VS,
21,The Adventures of Tintin,2011,https://boxd.it/1Irc,
22,Knives Out,2019,https://boxd.it/jWEA,
23,Jurassic Park,1993,https://boxd.it/2aA2,
24,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,
25,Nightcrawler,2014,https://boxd.it/780m,
26,Kingsman: The Secret Service,2014,https://boxd.it/6dxe,
27,WALL·E,2008,https://boxd.it/1VEo,
