
Date,Name,Tags,URL,Description
2020-04-04,MCU Ranked,,https://boxd.it/59PIC,"My personal ranking of every MCU movie and TV show. 

Franchise Average: 3.6 Stars"

Position,Name,Year,URL,Description
1,Doctor Strange,2016,https://boxd.it/8MH8,
2,Avengers: Endgame,2019,https://boxd.it/9vE4,
3,Captain America: Civil War,2016,https://boxd.it/89Ja,
4,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,
5,Guardians of the Galaxy,2014,https://boxd.it/3VH2,
6,Iron Man,2008,https://boxd.it/28dA,
7,Ant-Man,2015,https://boxd.it/3vmW,
8,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,
9,Spider-Man: Homecoming,2017,https://boxd.it/aboM,
10,Captain America: The First Avenger,2011,https://boxd.it/28b0,
11,Avengers: Infinity War,2018,https://boxd.it/9vEe,
12,Thor: Ragnarok,2017,https://boxd.it/8MHi,
13,The Avengers,2012,https://boxd.it/1xFW,
14,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,
15,Spider-Man: Far From Home,2019,https://boxd.it/fegG,
16,Black Panther,2018,https://boxd.it/8MHs,
17,Iron Man 3,2013,https://boxd.it/2cBQ,
18,Hawkeye,2021,https://boxd.it/xQqK,
19,Iron Man 2,2010,https://boxd.it/1WZM,
20,Loki,2021,https://boxd.it/sbHg,
21,Ant-Man and the Wasp,2018,https://boxd.it/cqUW,
22,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI,
23,Avengers: Age of Ultron,2015,https://boxd.it/3qi6,
24,The Falcon and the Winter Soldier,2021,https://boxd.it/sbH6,
25,WandaVision,2021,https://boxd.it/sbGW,
26,Eternals,2021,https://boxd.it/j36o,
27,Black Widow,2021,https://boxd.it/hWV8,
28,Thor: The Dark World,2013,https://boxd.it/2DqA,
29,The Incredible Hulk,2008,https://boxd.it/28dU,
30,Thor,2011,https://boxd.it/1WQU,
31,Captain Marvel,2019,https://boxd.it/9vSA,
