
Date,Name,Tags,URL,Description
2020-07-29,Movies watched in 2020,yir2020,https://boxd.it/7yyQ8,"All the feature-length movies I fully watched in 2020. There were plenty of movies that I started but never finished, but since I didn't finish them I didn't add them to the list. I don't think I'll ever watch this many movies in a single year, I have mostly quarantine to thank for my final count.

+7 films to the current total due to rewatches. (Airplane, Grown-Ups, Nightcrawler, Ferris Bueller's Day Off, Parasite, Election, Rise of Skywalker)"

Position,Name,Year,URL,Description
1,Norm of the North,2016,https://boxd.it/8qZE,
2,Instant Family,2018,https://boxd.it/hHpQ,
3,Ex Machina,2015,https://boxd.it/7T2k,
4,Spy Kids,2001,https://boxd.it/1Xcw,
5,"Extremely Wicked, Shockingly Evil and Vile",2019,https://boxd.it/glCG,
6,End of Watch,2012,https://boxd.it/2F5O,
7,Limitless,2011,https://boxd.it/Aly,
8,Stronger,2017,https://boxd.it/dRqQ,
9,Accidental Love,2015,https://boxd.it/acfG,
10,The Report,2019,https://boxd.it/j2X2,
11,Nightcrawler,2014,https://boxd.it/780m,
12,Captain America: The First Avenger,2011,https://boxd.it/28b0,
13,The Grinch,2018,https://boxd.it/chpK,
14,Sherlock Holmes,2009,https://boxd.it/1W2A,
15,Catch Me If You Can,2002,https://boxd.it/29VS,
16,Okja,2017,https://boxd.it/dvXe,
17,Mission: Impossible,1996,https://boxd.it/29d2,
18,Captain Marvel,2019,https://boxd.it/9vSA,
19,A Bug's Life,1998,https://boxd.it/1Yyy,
20,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,
21,A Quiet Place,2018,https://boxd.it/fVJQ,
22,Inside Out,2015,https://boxd.it/4KHC,
23,Midsommar,2019,https://boxd.it/jhxe,
24,1917,2019,https://boxd.it/jj4y,
25,Don't Talk to Irene,2017,https://boxd.it/gTSe,
26,Jumanji: The Next Level,2019,https://boxd.it/ixu4,
27,Indiana Jones and the Kingdom of the Crystal Skull,2008,https://boxd.it/2aR8,
28,Mine,2016,https://boxd.it/bywc,
29,Annihilation,2018,https://boxd.it/9yzm,
30,Overlord,2018,https://boxd.it/fAwm,
31,Between Two Ferns: The Movie,2019,https://boxd.it/lw9g,
32,The Invention of Lying,2009,https://boxd.it/1zGs,
33,The Lion King,2019,https://boxd.it/eSjI,
34,Up in the Air,2009,https://boxd.it/1zPY,
35,Moon,2009,https://boxd.it/1IGQ,
36,2012,2009,https://boxd.it/1OE2,
37,Hancock,2008,https://boxd.it/1Zv6,
38,Mission: Impossible - Fallout,2018,https://boxd.it/bSVc,
39,Zombieland: Double Tap,2019,https://boxd.it/bgb6,
40,Spider-Man: Far From Home,2019,https://boxd.it/fegG,
41,Aquaman,2018,https://boxd.it/9ru0,
42,Dora and the Lost City of Gold,2019,https://boxd.it/i1VW,
43,Ghostbusters,2016,https://boxd.it/Vm8,
44,Room,2015,https://boxd.it/7T0y,
45,Now You See Me,2013,https://boxd.it/2Bsu,
46,Now You See Me 2,2016,https://boxd.it/99fw,
47,Honey Boy,2019,https://boxd.it/ixvm,
48,Yes Man,2008,https://boxd.it/1WPW,
49,Sicario,2015,https://boxd.it/8i7u,
50,Sonic the Hedgehog,2020,https://boxd.it/gdK8,
51,The Naked Gun: From the Files of Police Squad!,1988,https://boxd.it/18YE,
52,Timmy Failure: Mistakes Were Made,2020,https://boxd.it/k6Ck,
53,Toy Story 4,2019,https://boxd.it/9ALu,
54,Paranormal Activity,2007,https://boxd.it/1yIM,
55,Airplane!,1980,https://boxd.it/29yu,
56,The Karate Kid,1984,https://boxd.it/27Wk,
57,"As Above, So Below",2014,https://boxd.it/7yui,
58,Men in Black 3,2012,https://boxd.it/103U,
59,Jaws,1975,https://boxd.it/2a5e,
60,The World's End,2013,https://boxd.it/3EiO,
61,Kim Possible,2019,https://boxd.it/iT6y,
62,Hot Fuzz,2007,https://boxd.it/2416,
63,Super,2010,https://boxd.it/QgO,
64,The Hitchhiker's Guide to the Galaxy,2005,https://boxd.it/20VE,
65,Onward,2020,https://boxd.it/io92,
66,Monsters vs Aliens,2009,https://boxd.it/1M50,
67,"Love, Simon",2018,https://boxd.it/g02s,
68,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,
69,Spies in Disguise,2019,https://boxd.it/fjf4,
70,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
71,The Shawshank Redemption,1994,https://boxd.it/2aHi,
72,The Florida Project,2017,https://boxd.it/dMG0,
73,Penguins of Madagascar,2014,https://boxd.it/89tc,
74,X-Men: First Class,2011,https://boxd.it/FOA,
75,X-Men: Days of Future Past,2014,https://boxd.it/4aRw,
76,X-Men: Apocalypse,2016,https://boxd.it/7eJi,
77,Dark Phoenix,2019,https://boxd.it/anyO,
78,X-Men,2000,https://boxd.it/1a7s,
79,Big Time Adolescence,2019,https://boxd.it/jFke,
80,Nocturnal Animals,2016,https://boxd.it/bkFu,
81,Velvet Buzzsaw,2019,https://boxd.it/gAy0,
82,X2,2003,https://boxd.it/1a7i,
83,X-Men: The Last Stand,2006,https://boxd.it/1a5Q,
84,X-Men Origins: Wolverine,2009,https://boxd.it/27ug,
85,The Wolverine,2013,https://boxd.it/2CWU,
86,Logan,2017,https://boxd.it/7Piy,
87,Bloodshot,2020,https://boxd.it/bfG8,
88,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/hSyO,
89,The Invisible Man,2020,https://boxd.it/kWlA,
90,Quantum of Solace,2008,https://boxd.it/1Vs8,
91,The Hangover,2009,https://boxd.it/1GjK,
92,The Hangover Part II,2011,https://boxd.it/PZI,
93,The Hangover Part III,2013,https://boxd.it/3GNY,
94,Upgrade,2018,https://boxd.it/i4gW,
95,The Disaster Artist,2017,https://boxd.it/cTqc,
96,The Cabin in the Woods,2011,https://boxd.it/1zOc,
97,Due Date,2010,https://boxd.it/YFs,
98,Oblivion,2013,https://boxd.it/2Bzq,
99,Impractical Jokers: The Movie,2020,https://boxd.it/kMLI,
100,Iron Man,2008,https://boxd.it/28dA,
101,The Incredible Hulk,2008,https://boxd.it/28dU,
102,Iron Man 2,2010,https://boxd.it/1WZM,
103,Thor,2011,https://boxd.it/1WQU,
104,The Avengers,2012,https://boxd.it/1xFW,
105,Iron Man 3,2013,https://boxd.it/2cBQ,
