
Date,Name,Tags,URL,Description
2020-04-24,Once Upon a Favorite Movie,,https://boxd.it/5kUwS,"Every movie that I have at one point in my life considered to be my favorite movie, as ranked by my current opinion.

2021: Zodiac
2020: Ferris Bueller, Zodiac
2019: Endgame, Scott Pilgrim, Baby Driver, and Whiplash
2018: Avengers Infinity War and Bohemian Rhapsody
2017: Captain America: Civil War
2016: Captain America: Civil War
2015: Age of Ultron and Jurassic World
2014: Iron Man 3 and Jurassic Park
2013: Jurassic Park and The Incredibles
2012: Cars 2 and The Incredibles
2011: Adventures of Tintin, Parental Guidance, and The Incredibles
2010 and Down: All of the Indiana Jones and Star Wars Movies

These are all to the best of my recollection. I was born in 2003 but I can't remember what was my favorite movie until I was six or seven when my Dad started showing me Indiana Jones and Star Wars. I really enjoyed Thomas the Tank Engine and Little Einstein VHS tapes when I was young, but I can't be bothered to try to figure out which of those is which."

Position,Name,Year,URL,Description
1,Zodiac,2007,https://boxd.it/27MO,
2,Whiplash,2014,https://boxd.it/7bQA,
3,Baby Driver,2017,https://boxd.it/bhF2,
4,Avengers: Infinity War,2018,https://boxd.it/9vEe,
5,The Incredibles,2004,https://boxd.it/1XLm,
6,Star Wars,1977,https://boxd.it/72s,
7,Jurassic Park,1993,https://boxd.it/2aA2,
8,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,
9,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,
10,Avengers: Endgame,2019,https://boxd.it/9vE4,
11,Bohemian Rhapsody,2018,https://boxd.it/f1TK,
12,Captain America: Civil War,2016,https://boxd.it/89Ja,
13,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,
14,Avengers: Age of Ultron,2015,https://boxd.it/3qi6,
15,Jurassic World,2015,https://boxd.it/4n0g,
16,The Adventures of Tintin,2011,https://boxd.it/1Irc,
17,Iron Man 3,2013,https://boxd.it/2cBQ,
18,Cars 2,2011,https://boxd.it/H4Y,
19,Parental Guidance,2012,https://boxd.it/37JC,
