
Date,Name,Tags,URL,Description
2019-11-05,Pixar Ranked,,https://boxd.it/4a7RS,"Every Pixar movie ranked.

Studio Average: 3.4 Stars

<a href=""https://letterboxd.com/rejilliken/list/pixar-shorts-ranked/"" rel=""nofollow"">Pixar Shorts Ranked</a>"

Position,Name,Year,URL,Description
1,The Incredibles,2004,https://boxd.it/1XLm,
2,Incredibles 2,2018,https://boxd.it/7IPg,
3,Toy Story 3,2010,https://boxd.it/1WRe,
4,WALL·E,2008,https://boxd.it/1VEo,
5,Ratatouille,2007,https://boxd.it/27ww,
6,"Monsters, Inc.",2001,https://boxd.it/2a46,
7,Up,2009,https://boxd.it/1OEc,
8,Monsters University,2013,https://boxd.it/bQm,
9,Toy Story 4,2019,https://boxd.it/9ALu,
10,Luca,2021,https://boxd.it/ipjC,
11,Turning Red,2022,https://boxd.it/ipkq,
12,Onward,2020,https://boxd.it/io92,
13,Soul,2020,https://boxd.it/ioLA,
14,Toy Story 2,1999,https://boxd.it/29qq,
15,Cars 2,2011,https://boxd.it/H4Y,
16,A Bug's Life,1998,https://boxd.it/1Yyy,
17,Inside Out,2015,https://boxd.it/4KHC,
18,Coco,2017,https://boxd.it/bYJQ,
19,Toy Story,1995,https://boxd.it/29qA,
20,Finding Nemo,2003,https://boxd.it/72i,
21,Cars 3,2017,https://boxd.it/7IPq,
22,Cars,2006,https://boxd.it/29ho,
23,Brave,2012,https://boxd.it/bVG,
24,Finding Dory,2016,https://boxd.it/4aAA,
25,The Good Dinosaur,2015,https://boxd.it/3AD4,
