
Date,Name,Tags,URL,Description
2021-01-24,Pixar Shorts Ranked,,https://boxd.it/aY9AI,"My ranking of mostly every Pixar short I've seen. There were a few I didn't give ratings because they were either too short or I didn't really have any strong opinions on them.

<a href=""https://letterboxd.com/rejilliken/list/pixar-ranked/"" rel=""nofollow"">Pixar Ranked</a>"

Position,Name,Year,URL,Description
1,Jack-Jack Attack,2005,https://boxd.it/1P6q,
2,Out,2020,https://boxd.it/qs3I,
3,Your Friend the Rat,2007,https://boxd.it/1QVY,
4,Piper,2016,https://boxd.it/dZaG,
5,Kitbull,2019,https://boxd.it/l4MY,
6,Cookie Num Num,2021,https://boxd.it/tCZe,
7,Chore Day - The Incredibles Way,2021,https://boxd.it/tCYg,
8,One Man Band,2005,https://boxd.it/1P6g,
9,Riley's First Date?,2015,https://boxd.it/bZN0,
10,Forky Asks a Question: What Is Reading?,2020,https://boxd.it/oF8i,
11,Lamp Life,2020,https://boxd.it/lTYG,
12,Mike's New Car,2002,https://boxd.it/1P6A,
13,Hawaiian Vacation,2011,https://boxd.it/2Hkw,
14,Fluffy Stuff with Ducky & Bunny: Three Heads,2021,https://boxd.it/tD1a,
15,Bao,2018,https://boxd.it/iEl4,
16,Small Fry,2011,https://boxd.it/2TdM,
17,Presto,2008,https://boxd.it/1QYI,
18,Purl,2018,https://boxd.it/jomC,
19,Loop,2020,https://boxd.it/l4OA,
20,Wind,2019,https://boxd.it/l4OK,
21,Day & Night,2010,https://boxd.it/11kM,
22,Unparalleled Parking,2021,https://boxd.it/tCYK,
23,Knick Knack,1989,https://boxd.it/1P74,
24,Geri's Game,1997,https://boxd.it/1P6U,
25,Forky Asks a Question: What Is a Friend?,2019,https://boxd.it/oAMi,
26,La luna,2011,https://boxd.it/2WbO,
27,Forky Asks a Question: What Is Cheese?,2020,https://boxd.it/oACs,
28,Partysaurus Rex,2012,https://boxd.it/4gmE,
29,For the Birds,2000,https://boxd.it/1P6K,
30,Forky Asks a Question: What Is Love?,2019,https://boxd.it/oABa,
31,Lifted,2006,https://boxd.it/1QW8,
32,Forky Asks a Question: What Is Time?,2019,https://boxd.it/oAB0,
33,Lava,2014,https://boxd.it/8S9G,
34,Forky Asks a Question: What Is a Pet?,2019,https://boxd.it/oAOS,
35,Fluffy Stuff with Ducky & Bunny: Love,2021,https://boxd.it/tFAm,
36,Float,2019,https://boxd.it/l4OU,
37,Smash and Grab,2019,https://boxd.it/joms,
38,Forky Asks a Question: What Is Art?,2019,https://boxd.it/oABk,
39,Red's Dream,1987,https://boxd.it/1P7o,
40,Forky Asks a Question: What Is Money?,2019,https://boxd.it/oAC8,
41,To Fitness and Beyond,2021,https://boxd.it/tD1E,
42,Tin Toy,1988,https://boxd.it/1P7e,
43,Forky Asks a Question: What Is a Computer?,2019,https://boxd.it/oAS6,
44,Forky Asks a Question: What Is a Leader?,2019,https://boxd.it/oABE,
45,Dancing with the Cars,2021,https://boxd.it/tCZI,
46,A Day in the Life of the Dead,2021,https://boxd.it/tD1Y,
47,Dory Finding,2021,https://boxd.it/tCYA,
