
Date,Name,Tags,URL,Description
2020-12-12,Robert Zemeckis Ranked,,https://boxd.it/arh7y,"Every movie directed by Robert Zemeckis that I've seen, ranked.

Directoral average: "

Position,Name,Year,URL,Description
1,Back to the Future,1985,https://boxd.it/2b8e,
2,Back to the Future Part III,1990,https://boxd.it/2aTS,
3,Back to the Future Part II,1989,https://boxd.it/2aYI,
4,Who Framed Roger Rabbit,1988,https://boxd.it/29ry,
5,The Polar Express,2004,https://boxd.it/23am,
6,Forrest Gump,1994,https://boxd.it/728,
7,Cast Away,2000,https://boxd.it/20i8,
8,Contact,1997,https://boxd.it/29OM,
