
Date,Name,Tags,URL,Description
2019-12-06,Star Wars Ranked,,https://boxd.it/4jlbO,"Every theatrically released live-action Star Wars movie ranked.

Franchise Average: 3.5 Stars"

Position,Name,Year,URL,Description
1,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,
2,The Empire Strikes Back,1980,https://boxd.it/27Vw,
3,Return of the Jedi,1983,https://boxd.it/27Vm,
4,Star Wars,1977,https://boxd.it/72s,
5,Star Wars: Episode III - Revenge of the Sith,2005,https://boxd.it/27US,
6,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,
7,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,
8,Solo: A Star Wars Story,2018,https://boxd.it/bGWs,
9,Star Wars: Episode II - Attack of the Clones,2002,https://boxd.it/27V2,
10,Star Wars: Episode I - The Phantom Menace,1999,https://boxd.it/27Vc,
11,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK,
