
Date,Name,Tags,URL,Description
2020-06-13,Steven Spielberg Ranked,,https://boxd.it/5KbM4,"Every Spielberg movie I've seen in recent time, ranked

Directoral Average: 3.75 Stars"

Position,Name,Year,URL,Description
1,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,
2,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO,
3,Catch Me If You Can,2002,https://boxd.it/29VS,
4,Jurassic Park,1993,https://boxd.it/2aA2,
5,The Adventures of Tintin,2011,https://boxd.it/1Irc,
6,Jaws,1975,https://boxd.it/2a5e,
7,Close Encounters of the Third Kind,1977,https://boxd.it/29u8,
8,The Terminal,2004,https://boxd.it/2a2O,
9,Indiana Jones and the Temple of Doom,1984,https://boxd.it/2bb8,
10,Indiana Jones and the Kingdom of the Crystal Skull,2008,https://boxd.it/2aR8,
11,Minority Report,2002,https://boxd.it/2aWi,
12,War of the Worlds,2005,https://boxd.it/2bde,
