
Date,Name,Tags,URL,Description
2020-07-23,Superior Soundtracks,,https://boxd.it/7uYwA,Movies with killer soundtracks ranked in no particular order.

Position,Name,Year,URL,Description
1,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,
2,Baby Driver,2017,https://boxd.it/bhF2,
3,Clueless,1995,https://boxd.it/1Ygk,
4,Guardians of the Galaxy,2014,https://boxd.it/3VH2,
5,The Muppets,2011,https://boxd.it/1zg,
6,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,
7,Captain Marvel,2019,https://boxd.it/9vSA,
8,Despicable Me 3,2017,https://boxd.it/azpu,
9,Sing,2016,https://boxd.it/b5EQ,
