
Date,Name,Tags,URL,Description
2021-10-21,The Wizarding World of Harry Potter Ranked,,https://boxd.it/dLlJy,"Every Wizarding World of Harry Potter movie that I've seen ranked. WIP list.

Franchise Average: 3.4 Stars"

Position,Name,Year,URL,Description
1,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/29FU,
2,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS,
3,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/29Qe,
4,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,
5,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk,
6,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI,
7,Fantastic Beasts and Where to Find Them,2016,https://boxd.it/7FPC,
8,Harry Potter and the Deathly Hallows: Part 1,2010,https://boxd.it/1RYu,
9,Fantastic Beasts: The Crimes of Grindelwald,2018,https://boxd.it/bg8G,
10,Harry Potter and the Goblet of Fire,2005,https://boxd.it/29Qo,
