
Date,Name,Tags,URL,Description
2020-10-15,Wes Anderson Ranked,,https://boxd.it/8Yxum,"Every Wes Anderson movie I've seen, ranked.

Directoral Average: 3.2 stars"

Position,Name,Year,URL,Description
1,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,
2,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
3,Moonrise Kingdom,2012,https://boxd.it/2Wng,
4,The Royal Tenenbaums,2001,https://boxd.it/1YHU,
5,The French Dispatch,2021,https://boxd.it/jLP8,
6,Bottle Rocket,1996,https://boxd.it/1PDa,
7,Rushmore,1998,https://boxd.it/1TAO,
8,Isle of Dogs,2018,https://boxd.it/dZrW,
