
Date,Name,Tags,URL,Description
2019-09-25,X-Men Ranked,,https://boxd.it/3Zz7G,"All of the Fox X-Men movies I've seen in recent time ranked.

Franchise Average: 3.1 Stars"

Position,Name,Year,URL,Description
1,X-Men: Days of Future Past,2014,https://boxd.it/4aRw,
2,Logan,2017,https://boxd.it/7Piy,
3,X-Men: First Class,2011,https://boxd.it/FOA,
4,X2,2003,https://boxd.it/1a7i,
5,X-Men: Apocalypse,2016,https://boxd.it/7eJi,
6,The Wolverine,2013,https://boxd.it/2CWU,
7,X-Men,2000,https://boxd.it/1a7s,
8,The New Mutants,2020,https://boxd.it/bjle,
9,X-Men: The Last Stand,2006,https://boxd.it/1a5Q,
10,Once Upon a Deadpool,2018,https://boxd.it/kOfE,
11,X-Men Origins: Wolverine,2009,https://boxd.it/27ug,
12,Dark Phoenix,2019,https://boxd.it/anyO,
