Date,Name,Year,Letterboxd URI,Rating
2019-07-02,Guardians of the Galaxy,2014,https://boxd.it/3VH2,4
2019-07-02,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,3.5
2019-07-02,Captain America: Civil War,2016,https://boxd.it/89Ja,4
2019-07-02,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,4
2019-07-02,Hereditary,2018,https://boxd.it/hNVe,4
2019-07-02,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,4
2019-07-02,The Empire Strikes Back,1980,https://boxd.it/27Vw,4
2019-07-02,Iron Man,2008,https://boxd.it/28dA,4
2019-07-02,The Meg,2018,https://boxd.it/bAL4,3.5
2019-07-02,The Commuter,2018,https://boxd.it/dZ36,3.5
2019-07-02,Escape Room,2019,https://boxd.it/iYlS,3
2019-07-02,The Lego Batman Movie,2017,https://boxd.it/azp0,3.5
2019-07-02,Kingsman: The Secret Service,2014,https://boxd.it/6dxe,4
2019-07-02,The Dark Knight,2008,https://boxd.it/2b0k,4
2019-08-13,Fast & Furious Presents: Hobbs & Shaw,2019,https://boxd.it/dnDA,3
2019-08-27,Scary Stories to Tell in the Dark,2019,https://boxd.it/eJTW,2.5
2019-09-23,It Chapter Two,2019,https://boxd.it/h10u,3
2019-09-24,Shaun of the Dead,2004,https://boxd.it/29J8,3.5
2019-09-24,Forrest Gump,1994,https://boxd.it/728,3.5
2019-09-24,Cast Away,2000,https://boxd.it/20i8,3.5
2019-09-24,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,4
2019-09-24,Godzilla: King of the Monsters,2019,https://boxd.it/cY7Y,2
2019-09-24,Good Boys,2019,https://boxd.it/iW1G,3.5
2019-09-24,Zootopia,2016,https://boxd.it/84xS,3.5
2019-09-24,Kingsman: The Golden Circle,2017,https://boxd.it/buJm,3.5
2019-09-24,The Fate of the Furious,2017,https://boxd.it/bbCw,3
2019-09-24,Suicide Squad,2016,https://boxd.it/9row,1.5
2019-09-24,Hush,2016,https://boxd.it/d5ys,3.5
2019-09-24,Sing,2016,https://boxd.it/b5EQ,3
2019-09-24,San Andreas,2015,https://boxd.it/7sUa,2.5
2019-09-25,X-Men Origins: Wolverine,2009,https://boxd.it/27ug,2
2019-09-28,Zombieland,2009,https://boxd.it/1En6,3.5
2019-09-30,Pokémon Detective Pikachu,2019,https://boxd.it/fVA0,2.5
2019-10-01,Indiana Jones and the Temple of Doom,1984,https://boxd.it/2bb8,3.5
2019-10-01,Spider-Man: Far From Home,2019,https://boxd.it/fegG,3.5
2019-10-01,Ralph Breaks the Internet,2018,https://boxd.it/edAy,2.5
2019-10-01,Doctor Strange,2016,https://boxd.it/8MH8,4
2019-10-03,Batman Begins,2005,https://boxd.it/2aIg,3.5
2019-10-05,Justice League,2017,https://boxd.it/4w68,2
2019-10-08,127 Hours,2010,https://boxd.it/SLa,3.5
2019-10-13,John Mulaney: New in Town,2012,https://boxd.it/359M,3.5
2019-10-13,The Interview,2014,https://boxd.it/6KQ4,2.5
2019-10-14,Madagascar,2005,https://boxd.it/29dc,2
2019-10-15,Black Mirror: Striking Vipers,2019,https://boxd.it/mlse,3
2019-10-15,Black Mirror: Smithereens,2019,https://boxd.it/mltc,4
2019-10-15,"Black Mirror: Rachel, Jack and Ashley Too",2019,https://boxd.it/mltQ,2
2019-10-16,Juno,2007,https://boxd.it/210a,3
2019-10-18,"McFarland, USA",2015,https://boxd.it/6JCq,4
2019-10-22,Men in Black II,2002,https://boxd.it/2a0y,2.5
2019-10-22,Talladega Nights: The Ballad of Ricky Bobby,2006,https://boxd.it/1XYq,4
2019-10-23,The Croods,2013,https://boxd.it/FRE,2.5
2019-10-27,Black Mirror: Metalhead,2017,https://boxd.it/hRqk,3.5
2019-10-27,Black Mirror: Hang the DJ,2017,https://boxd.it/hQYA,3.5
2019-10-28,Black Mirror: Men Against Fire,2016,https://boxd.it/hSBS,3
2019-10-28,Black Mirror: Black Museum,2017,https://boxd.it/hRqu,2.5
