,Date,Name,Year,Letterboxd URI,Runtime
0,2020-08-02,Superbad,2007,https://boxd.it/20hO,113
1,2020-08-06,Joker,2019,https://boxd.it/h4cS,122
2,2020-08-07,2001: A Space Odyssey,1968,https://boxd.it/2bf0,149
3,2020-08-09,Feels Good Man,2020,https://boxd.it/oigS,94
4,2020-08-18,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,133
5,2020-08-22,The Silence of the Lambs,1991,https://boxd.it/2aHW,119
6,2020-08-25,Inception,2010,https://boxd.it/1skk,148
7,2020-08-25,Accidental Love,2015,https://boxd.it/acfG,100
8,2020-08-26,Moonlight,2016,https://boxd.it/d6bE,111
9,2020-09-05,Novel Romance,2006,https://boxd.it/stu,91
10,2020-09-08,The Godfather,1972,https://boxd.it/2aNK,175
11,2020-09-08,Inglourious Basterds,2009,https://boxd.it/1JzG,153
12,2020-09-08,Reservoir Dogs,1992,https://boxd.it/2agc,99
13,2020-09-12,Interstellar,2014,https://boxd.it/4VZ8,169
14,2020-10-02,Kuso,2017,https://boxd.it/evaI,86
15,2021-01-29,Whiplash,2014,https://boxd.it/7bQA,107
16,2021-05-12,Scarface,1983,https://boxd.it/2b7g,170
17,2021-09-04,Hunt for the Wilderpeople,2016,https://boxd.it/cTgG,101
18,2021-11-24,The Revenant,2015,https://boxd.it/8H5e,157
19,2022-01-11,My Neighbor Totoro,1988,https://boxd.it/20eA,86
20,2022-01-11,Howl's Moving Castle,2004,https://boxd.it/23De,119
21,2022-01-14,A Silent Voice,2016,https://boxd.it/d99c,130
22,2022-01-14,The Dark Knight Rises,2012,https://boxd.it/H3m,165
23,2022-01-17,Mulholland Drive,2001,https://boxd.it/297o,147
24,2022-01-17,Ponyo,2008,https://boxd.it/1S0A,100
25,2022-01-21,Citizen Kane,1941,https://boxd.it/71O,119
26,2022-01-30,Fight Club,1999,https://boxd.it/2a9q,139
27,2022-01-30,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk,166
28,2022-02-01,House,1977,https://boxd.it/1vsm,88
29,2022-02-02,Andrei Rublev,1966,https://boxd.it/29lg,205
30,2022-02-15,Akira,1988,https://boxd.it/2b1i,124
31,2022-02-23,Moneyball,2011,https://boxd.it/glS,134
32,2022-03-03,There Will Be Blood,2007,https://boxd.it/20Z2,158
33,2022-03-07,Moonrise Kingdom,2012,https://boxd.it/2Wng,94
34,2022-03-07,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,100
35,2022-03-07,The French Dispatch,2021,https://boxd.it/jLP8,108
36,2022-03-10,Shutter Island,2010,https://boxd.it/1U82,138
37,2022-03-12,Taxi Driver,1976,https://boxd.it/2b8y,114
38,2022-03-19,Chicken Run,2000,https://boxd.it/20Xg,84
39,2022-03-27,The Worst Person in the World,2021,https://boxd.it/oyws,128
40,2022-03-29,Little Miss Sunshine,2006,https://boxd.it/29EW,102
41,2022-03-30,Casino,1995,https://boxd.it/2ads,179
42,2022-03-30,The Departed,2006,https://boxd.it/28MA,151
43,2022-03-30,Eyes Wide Shut,1999,https://boxd.it/2axs,159
44,2022-03-30,The Lighthouse,2019,https://boxd.it/icFU,109
45,2022-03-30,Vertigo,1958,https://boxd.it/2apI,128
46,2022-03-30,The Birds,1963,https://boxd.it/2a6m,119
47,2022-03-31,The Prestige,2006,https://boxd.it/293w,130
48,2022-03-31,Black Swan,2010,https://boxd.it/Sw0,108
49,2022-03-31,Zathura: A Space Adventure,2005,https://boxd.it/21mq,101
50,2022-04-01,Punch-Drunk Love,2002,https://boxd.it/20E4,96
