Date,Name,Year,Letterboxd URI
2020-07-24,Pulp Fiction,1994,https://boxd.it/29Pq
2020-07-24,Knives Out,2019,https://boxd.it/jWEA
2020-07-24,The Iron Giant,1999,https://boxd.it/1Wow
2020-07-24,Spirited Away,2001,https://boxd.it/2b4m
2020-07-29,Minority Report,2002,https://boxd.it/2aWi
2020-07-29,Get Out,2017,https://boxd.it/eOCm
2020-08-06,The Matrix,1999,https://boxd.it/2a1m
2020-08-25,Grown Ups,2010,https://boxd.it/169a
2020-09-08,Nightcrawler,2014,https://boxd.it/780m
2020-09-08,Parasite,2019,https://boxd.it/hTha
2020-09-09,Once Upon a Time… in Hollywood,2019,https://boxd.it/gH0O
2020-09-09,Us,2019,https://boxd.it/gnV6
2020-12-29,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY
2021-02-08,Nuts for Pudding,2007,https://boxd.it/oTdQ
2021-02-10,American Psycho,2000,https://boxd.it/28Vs
2021-05-27,Believe It,2021,https://boxd.it/vqNa
2021-08-18,Free Guy,2021,https://boxd.it/k8dm
2021-08-19,Baby Driver,2017,https://boxd.it/bhF2
2021-10-24,No Time to Die,2021,https://boxd.it/cPX2
2021-10-24,American Beauty,1999,https://boxd.it/71Y
2021-11-08,Eternals,2021,https://boxd.it/j36o
2021-11-23,The Shining,1980,https://boxd.it/29Nu
2021-12-26,Die Hard,1988,https://boxd.it/2a7u
2022-01-11,Princess Mononoke,1997,https://boxd.it/2b4w
2022-01-14,The Truman Show,1998,https://boxd.it/18U8
2022-01-15,Batman Begins,2005,https://boxd.it/2aIg
2022-01-16,1917,2019,https://boxd.it/jj4y
2022-01-18,Your Name.,2016,https://boxd.it/cUqs
2022-01-21,The Dark Knight,2008,https://boxd.it/2b0k
2022-01-23,A Clockwork Orange,1971,https://boxd.it/2aVE
2022-02-14,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ
2022-02-15,Fargo,1996,https://boxd.it/2aHM
2022-02-18,Midsommar,2019,https://boxd.it/jhxe
2022-02-20,Hereditary,2018,https://boxd.it/hNVe
2022-02-20,Prisoners,2013,https://boxd.it/4E5i
2022-03-03,Raja Rani,2013,https://boxd.it/6DKS
2022-03-05,Django Unchained,2012,https://boxd.it/2cCk
2022-03-06,Zodiac,2007,https://boxd.it/27MO
2022-03-06,GoodFellas,1990,https://boxd.it/29FA
2022-03-06,Tenet,2020,https://boxd.it/leq4
2022-03-08,The Social Network,2010,https://boxd.it/17ue
2022-03-08,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ
2022-03-08,This Is Where I Leave You,2014,https://boxd.it/73kQ
2022-03-10,The Batman,2022,https://boxd.it/eDGs
2022-03-10,Lady Bird,2017,https://boxd.it/dGNE
2022-03-13,21,2008,https://boxd.it/20BO
2022-03-21,Gone Girl,2014,https://boxd.it/6hQu
2022-03-27,The Kashmir Files,2022,https://boxd.it/y2wU
2022-03-28,Se7en,1995,https://boxd.it/29zs
2022-03-29,Kill Bill: Vol. 1,2003,https://boxd.it/70w
