Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-07-29,Minority Report,2002,https://boxd.it/1gYZBz,3,,,2020-07-28
2020-07-29,Get Out,2017,https://boxd.it/1h3lLT,5,,,2020-07-29
2020-08-06,The Matrix,1999,https://boxd.it/1hRjvJ,4,,,2020-08-06
2020-09-08,Parasite,2019,https://boxd.it/1lhXnp,4.5,,,2020-08-07
2020-08-25,Grown Ups,2010,https://boxd.it/1jNyJL,0.5,,,2020-08-24
2020-09-08,Nightcrawler,2014,https://boxd.it/1lhWn9,3,,,2020-09-04
2020-09-09,Once Upon a Time… in Hollywood,2019,https://boxd.it/1lo8tb,3,,,2020-09-07
2020-09-09,Us,2019,https://boxd.it/1lrtSx,4.5,,,2020-09-08
2022-03-06,Tenet,2020,https://boxd.it/2DA6g9,2.5,,@theater,2020-09-12
2020-12-29,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/1xLv4R,4,,,2020-12-28
2021-02-08,Nuts for Pudding,2007,https://boxd.it/1E9irb,5,,,2021-02-07
2021-02-10,American Psycho,2000,https://boxd.it/1EosEJ,4,,,2021-02-09
2021-05-27,Believe It,2021,https://boxd.it/1T4DbN,5,,,2021-05-26
2021-08-18,Free Guy,2021,https://boxd.it/24I2qF,1,,@theater,2021-08-17
2021-10-24,No Time to Die,2021,https://boxd.it/2emM2Z,3.5,,@theater,2021-10-24
2021-10-24,American Beauty,1999,https://boxd.it/2emO7R,3,,,2021-10-24
2021-11-08,Eternals,2021,https://boxd.it/2gGDYX,2.5,,@theater,2021-11-07
2021-11-23,The Shining,1980,https://boxd.it/2j3IVD,4,,,2021-11-22
2021-12-26,Die Hard,1988,https://boxd.it/2ona4Z,3.5,,,2021-12-25
2022-01-11,Princess Mononoke,1997,https://boxd.it/2sUGnB,4,,,2022-01-10
2022-01-13,American Psycho,2000,https://boxd.it/2tpKwf,4.5,Yes,,2022-01-12
2022-01-14,The Truman Show,1998,https://boxd.it/2tEfa3,4.5,,,2022-01-13
2022-01-15,Batman Begins,2005,https://boxd.it/2tWE3d,3.5,,,2022-01-15
2022-01-16,1917,2019,https://boxd.it/2udFaX,3,,,2022-01-16
2022-01-18,Your Name.,2016,https://boxd.it/2uIK0b,4,,,2022-01-17
2022-01-21,The Dark Knight,2008,https://boxd.it/2vkrCh,4.5,,,2022-01-21
2022-01-23,A Clockwork Orange,1971,https://boxd.it/2vJD9h,5,,,2022-01-22
2022-01-29,American Psycho,2000,https://boxd.it/2wUN0l,4.5,Yes,,2022-01-28
2022-02-14,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2zSSnd,1.5,,,2022-02-13
2022-02-15,Fargo,1996,https://boxd.it/2A2P8z,3,,,2022-02-14
2022-02-18,Midsommar,2019,https://boxd.it/2AEEed,4,,,2022-02-18
2022-02-20,Hereditary,2018,https://boxd.it/2AZZAr,3,,,2022-02-18
2022-02-20,Prisoners,2013,https://boxd.it/2B51pv,4.5,,,2022-02-20
2022-03-03,Raja Rani,2013,https://boxd.it/2CTYIP,3.5,,,2022-03-02
2022-03-05,Django Unchained,2012,https://boxd.it/2De88d,3,,,2022-03-04
2022-03-06,Zodiac,2007,https://boxd.it/2DrNhh,4,,,2022-03-05
2022-03-06,GoodFellas,1990,https://boxd.it/2DzoLH,4,,,2022-03-06
2022-03-08,The Social Network,2010,https://boxd.it/2DSeb3,4,,,2022-03-07
2022-03-08,Fantastic Mr. Fox,2009,https://boxd.it/2DXhRh,4.5,,,2022-03-07
2022-03-08,This Is Where I Leave You,2014,https://boxd.it/2DZUTF,2.5,,,2022-03-08
2022-03-10,The Batman,2022,https://boxd.it/2Ehv7x,4,,@theater,2022-03-08
2022-03-10,Lady Bird,2017,https://boxd.it/2EjBp7,4.5,,,2022-03-10
2022-03-13,21,2008,https://boxd.it/2ESWVt,2.5,,,2022-03-12
2022-03-21,Gone Girl,2014,https://boxd.it/2GqT2x,4,,,2022-03-19
2022-03-27,The Kashmir Files,2022,https://boxd.it/2Hte0l,2,,@theater,2022-03-26
2022-03-28,Se7en,1995,https://boxd.it/2HBCfb,4,,,2022-03-27
2022-03-29,Kill Bill: Vol. 1,2003,https://boxd.it/2HU49r,2.5,,,2022-03-29
